uid,eprintid,datestamp,value,count
9892222,5067,20230601,downloads,1
9892223,33847,20230601,downloads,1
9892224,13633,20230601,downloads,1
9892225,29812,20230601,downloads,2
9892226,7760,20230601,downloads,1
9892227,43577,20230601,downloads,1
9892228,16051,20230601,downloads,2
9892229,31404,20230601,downloads,2
9892230,16921,20230601,downloads,2
9892231,20849,20230601,downloads,1
9892232,21316,20230601,downloads,2
9892233,20608,20230601,downloads,1
9892234,14169,20230601,downloads,2
9892235,31049,20230601,downloads,2
9892236,13020,20230601,downloads,1
9892237,44812,20230601,downloads,1
9892238,14143,20230601,downloads,2
9892239,10570,20230601,downloads,1
9892240,37671,20230601,downloads,1
9892241,30064,20230601,downloads,2
9892242,9548,20230601,downloads,1
9892243,21358,20230601,downloads,1
9892244,29815,20230601,downloads,2
9892245,18985,20230601,downloads,1
9892246,39333,20230601,downloads,1
9892247,11763,20230601,downloads,1
9892248,13445,20230601,downloads,4
9892249,29381,20230601,downloads,1
9892250,6444,20230601,downloads,1
9892251,33109,20230601,downloads,1
9892252,19124,20230601,downloads,1
9892253,35934,20230601,downloads,1
9892254,29865,20230601,downloads,2
9892255,8895,20230601,downloads,1
9892256,33208,20230601,downloads,1
9892257,44416,20230601,downloads,1
9892258,18995,20230601,downloads,2
9892259,36992,20230601,downloads,1
9892260,41822,20230601,downloads,4
9892261,13489,20230601,downloads,2
9892262,13995,20230601,downloads,2
9892263,11514,20230601,downloads,1
9892264,15972,20230601,downloads,2
9892265,9312,20230601,downloads,1
9892266,19223,20230601,downloads,1
9892267,15898,20230601,downloads,2
9892268,15568,20230601,downloads,2
9892269,11383,20230601,downloads,1
9892270,17315,20230601,downloads,1
9892271,17451,20230601,downloads,1
9892272,38467,20230601,downloads,1
9892273,10531,20230601,downloads,1
9892274,9670,20230601,downloads,1
9892275,18732,20230601,downloads,1
9892276,36478,20230601,downloads,1
9892277,44639,20230601,downloads,2
9892278,29804,20230601,downloads,2
9892279,18133,20230601,downloads,1
9892280,10770,20230601,downloads,1
9892281,20839,20230601,downloads,1
9892282,29627,20230601,downloads,6
9892283,10985,20230601,downloads,2
9892284,23379,20230601,downloads,1
9892285,17003,20230601,downloads,2
9892286,37684,20230601,downloads,1
9892287,21835,20230601,downloads,1
9892288,44900,20230601,downloads,1
9892289,38682,20230601,downloads,1
9892290,11443,20230601,downloads,1
9892291,21339,20230601,downloads,5
9892292,10447,20230601,downloads,1
9892293,21438,20230601,downloads,1
9892294,9676,20230601,downloads,1
9892295,18863,20230601,downloads,1
9892296,10740,20230601,downloads,1
9892297,9197,20230601,downloads,1
9892298,39317,20230601,downloads,1
9892299,29937,20230601,downloads,2
9892300,43135,20230601,downloads,1
9892301,14019,20230601,downloads,2
9892302,10444,20230601,downloads,1
9892303,13628,20230601,downloads,1
9892304,6196,20230601,downloads,1
9892305,22456,20230601,downloads,3
9892306,17447,20230601,downloads,1
9892307,27647,20230601,downloads,1
9892308,6440,20230601,downloads,2
9892309,44411,20230601,downloads,2
9892310,13169,20230601,downloads,2
9892311,13135,20230601,downloads,1
9892312,13468,20230601,downloads,1
